Date,Adj Close,Close,High,Low,Open,Volume
1999-01-22,0.037615169,0.041016001,0.048827998,0.038802002,0.043749999,2714688000
1999-01-25,0.041555878,0.045313001,0.045832999,0.041016001,0.044271,510480000
1999-01-26,0.038331419,0.041797001,0.046744999,0.041145999,0.045832999,343200000
1999-01-27,0.03821218,0.041666999,0.042969,0.039583001,0.041926999,244368000
1999-01-28,0.038092051,0.041536,0.041926999,0.041276,0.041666999,227520000
1999-01-29,0.036300983,0.039583001,0.041666999,0.039583001,0.041536,244032000
1999-02-01,0.037018139,0.040364999,0.040624999,0.039583001,0.039583001,154704000
1999-02-02,0.034152262,0.037239999,0.040624999,0.036068,0.039583001,264096000
1999-02-03,0.034868501,0.038020998,0.038541999,0.036458001,0.036719002,75120000
1999-02-04,0.036778785,0.040104002,0.041145999,0.038020998,0.038541999,181920000
1999-02-05,0.037853617,0.041276,0.041666999,0.039714001,0.040755,136848000
1999-02-08,0.036540333,0.039843999,0.041666999,0.039843999,0.041536,154080000
1999-02-09,0.035106938,0.038281001,0.040885001,0.037760001,0.040624999,86976000
1999-02-10,0.034749277,0.037891001,0.039322998,0.037239999,0.038281001,148224000
1999-02-11,0.037734382,0.041145999,0.042707998,0.038020998,0.038020998,132240000
1999-02-12,0.039884031,0.04349,0.043749999,0.041666999,0.041666999,109728000
1999-02-16,0.040122472,0.043749999,0.046094,0.039322998,0.044271,211008000
1999-02-17,0.037972841,0.041405998,0.043228999,0.040624999,0.042707998,67728000
1999-02-18,0.038569845,0.042057,0.043228999,0.040885001,0.042707998,70704000
1999-02-19,0.039884031,0.04349,0.044271,0.041145999,0.041666999,75360000
1999-02-22,0.040122472,0.043749999,0.044792,0.041405998,0.044271,205248000
1999-02-23,0.042032767,0.045832999,0.046744999,0.042188,0.044792,138096000
1999-02-24,0.045376468,0.049479,0.054687999,0.048307002,0.052604001,612768000
1999-02-25,0.043943971,0.047917001,0.053125001,0.047134999,0.051562998,149136000
1999-02-26,0.041913562,0.045703001,0.050000001,0.045313001,0.048438001,172608000
1999-03-01,0.042152904,0.045963999,0.047917001,0.043749999,0.046875,92160000
1999-03-02,0.041794319,0.045573,0.046094,0.044792,0.045832999,55248000
1999-03-03,0.038928449,0.042447999,0.045832999,0.042188,0.045832999,61392000
1999-03-04,0.038092051,0.041536,0.044792,0.041145999,0.044530999,57360000
1999-03-05,0.040241711,0.043880001,0.044009998,0.041926999,0.041926999,78768000
1999-03-08,0.040838718,0.044530999,0.045832999,0.041926999,0.042707998,75888000
1999-03-09,0.042152904,0.045963999,0.046615001,0.044401001,0.044401001,143184000
1999-03-10,0.041435741,0.045182001,0.046615001,0.044530999,0.046615001,235344000
1999-03-11,0.039644685,0.043228999,0.045182001,0.043228999,0.044401001,54288000
1999-03-12,0.038928449,0.042447999,0.04349,0.041666999,0.04349,90768000
1999-03-15,0.040600277,0.044271,0.044792,0.043228999,0.04349,108816000
1999-03-16,0.039287001,0.042838998,0.045051999,0.042447999,0.044530999,79152000
1999-03-17,0.039525457,0.043099001,0.044009998,0.042057,0.043228999,51360000
1999-03-18,0.040003255,0.043620002,0.044271,0.042188,0.043228999,46320000
1999-03-19,0.040122472,0.043749999,0.045051999,0.04349,0.04349,105312000
1999-03-22,0.038928449,0.042447999,0.044792,0.042447999,0.044661,36672000
1999-03-23,0.036540333,0.039843999,0.042707998,0.039062999,0.042707998,163968000
1999-03-24,0.036300983,0.039583001,0.039843999,0.038020998,0.039583001,60864000
1999-03-25,0.036778785,0.040104002,0.041666999,0.039322998,0.039453,40320000
1999-03-26,0.040003255,0.043620002,0.043749999,0.040624999,0.040624999,88272000
1999-03-29,0.041197304,0.044922002,0.045963999,0.044140998,0.044922002,65952000
1999-03-30,0.037734382,0.041145999,0.045442998,0.040885001,0.045051999,69504000
1999-03-31,0.040360913,0.044009998,0.044530999,0.040495001,0.042447999,153600000
1999-04-01,0.039166883,0.042707998,0.044271,0.041926999,0.044009998,30432000
1999-04-05,0.037972841,0.041405998,0.043228999,0.041145999,0.042188,98640000
1999-04-06,0.037018139,0.040364999,0.041926999,0.039583001,0.041797001,69696000
1999-04-07,0.040122472,0.043749999,0.044009998,0.040364999,0.040624999,89280000
1999-04-08,0.040838718,0.044530999,0.045832999,0.04349,0.044009998,130128000
1999-04-09,0.040122472,0.043749999,0.044792,0.04349,0.044792,48624000
1999-04-12,0.038450632,0.041926999,0.043228999,0.041145999,0.043228999,33312000
1999-04-13,0.036898006,0.040233999,0.042707998,0.039583001,0.042707998,36144000
1999-04-14,0.035824101,0.039062999,0.041016001,0.039062999,0.040104002,48288000
1999-04-15,0.036778785,0.040104002,0.040104002,0.039062999,0.040104002,35856000
1999-04-16,0.037972841,0.041405998,0.042057,0.039843999,0.039843999,38928000
1999-04-19,0.036300983,0.039583001,0.041926999,0.039062999,0.041926999,31296000
1999-04-20,0.035584737,0.038802002,0.041145999,0.038410999,0.039583001,67680000
1999-04-21,0.036181759,0.039453,0.039583001,0.038541999,0.038802002,37488000
1999-04-22,0.034629136,0.037760001,0.039583001,0.03737,0.039583001,227184000
1999-04-23,0.032958195,0.035937998,0.037760001,0.035677001,0.037629999,126048000
1999-04-26,0.031286348,0.034115002,0.036458001,0.033333,0.035937998,123504000
1999-04-27,0.034629136,0.037760001,0.038020998,0.034375001,0.034896001,226944000
1999-04-28,0.034390703,0.037500001,0.038020998,0.036327999,0.038020998,120096000
1999-04-29,0.034390703,0.037500001,0.037760001,0.036719002,0.037629999,48144000
1999-04-30,0.034868501,0.038020998,0.039583001,0.037629999,0.037891001,99312000
1999-05-03,0.035106938,0.038281001,0.038410999,0.037239999,0.038410999,33840000
1999-05-04,0.033196643,0.036198001,0.038281001,0.035417002,0.038281001,96048000
1999-05-05,0.033912905,0.036979001,0.036979001,0.034375001,0.036458001,144576000
1999-05-06,0.033256259,0.036263,0.037500001,0.035156,0.036719002,35616000
1999-05-07,0.033435088,0.036458001,0.036719002,0.035156,0.035156,25008000
1999-05-10,0.033435088,0.036458001,0.037239999,0.036198001,0.036198001,19680000
1999-05-11,0.035226166,0.038410999,0.039583001,0.037239999,0.038020998,171744000
1999-05-12,0.036300983,0.039583001,0.039714001,0.038281001,0.038802002,168480000
1999-05-13,0.036300983,0.039583001,0.040624999,0.039453,0.039583001,69936000
1999-05-14,0.034390703,0.037500001,0.039583001,0.036979001,0.039583001,28464000
